"","color"
"1","#008856"
"2","#048954"
"3","#098A52"
"4","#0E8B50"
"5","#138C4F"
"6","#188D4D"
"7","#1D8F4B"
"8","#229049"
"9","#269148"
"10","#2B9246"
"11","#309344"
"12","#359443"
"13","#3A9641"
"14","#3F973F"
"15","#44983D"
"16","#48993C"
"17","#4D9A3A"
"18","#529C38"
"19","#579D37"
"20","#5C9E35"
"21","#619F33"
"22","#66A031"
"23","#6AA130"
"24","#6FA32E"
"25","#74A42C"
"26","#79A52B"
"27","#7EA629"
"28","#83A727"
"29","#88A925"
"30","#8CAA24"
"31","#91AB22"
"32","#96AC20"
"33","#9BAD1E"
"34","#A0AE1D"
"35","#A5B01B"
"36","#AAB119"
"37","#AEB218"
"38","#B3B316"
"39","#B8B414"
"40","#BDB612"
"41","#C2B711"
"42","#C7B80F"
"43","#CCB90D"
"44","#D0BA0C"
"45","#D5BB0A"
"46","#DABD08"
"47","#DFBE06"
"48","#E4BF05"
"49","#E9C003"
"50","#EEC101"
"51","#F3C300"
"52","#F2C000"
"53","#F1BD01"
"54","#F1BA02"
"55","#F0B703"
"56","#F0B403"
"57","#EFB104"
"58","#EFAE05"
"59","#EEAB06"
"60","#EDA807"
"61","#EDA507"
"62","#ECA208"
"63","#EC9F09"
"64","#EB9C0A"
"65","#EB990A"
"66","#EA960B"
"67","#EA930C"
"68","#E9910D"
"69","#E88E0E"
"70","#E88B0E"
"71","#E7880F"
"72","#E78510"
"73","#E68211"
"74","#E67F11"
"75","#E57C12"
"76","#E47913"
"77","#E47614"
"78","#E37315"
"79","#E37015"
"80","#E26D16"
"81","#E26A17"
"82","#E16718"
"83","#E16418"
"84","#E06119"
"85","#DF5F1A"
"86","#DF5C1B"
"87","#DE591C"
"88","#DE561C"
"89","#DD531D"
"90","#DD501E"
"91","#DC4D1F"
"92","#DC4A1F"
"93","#DB4720"
"94","#DA4421"
"95","#DA4122"
"96","#D93E23"
"97","#D93B23"
"98","#D83824"
"99","#D83525"
"100","#D73226"
"101","#D73027"
